text,rating,label
always buy best buy excellent productsthe workers knowledgeable sellthanks,5,2
fan amazon type operating system tablet ended taking back wanted easy supportive games apps android tablet,3,1
batteries lots good nice value,4,2
great tablet price dont expect fast expensive ones meant casual use great job price cant beat get nice large microsd card dont worry space runs little slow certain things multitasking simple tablet ive run plenty 720p videos without fail great ebooks files elaborate pdfs take load lol graphics battery life seems good small table toothe real issue amazon app store limited offshoot android apps available way around wish would allow access google play least offer appsso nice inexpensive table works great money love dont get upset doesnt run fast 500 tablet thats job,5,2
great build qualitygood screen resolution moneycan install android applications including kodi,5,2
great tablet price ordering online easy happy took long receive though,5,2
good duracell eveready brands much cheaper subscribe giving big bucks store run get,5,2
guy store really helpful pink fire kids edition looked top shelves found one four year old grand daughter loves,5,2
great deal batteries,5,2
great tablet low price thousands apps electronic books read,5,2
bought granddaughter age 5 xmas loves,5,2
great batteries great price bought several times,5,2
got gift mother shes satisfied,4,2
good product young child play without breaking,4,2
great bang buck,5,2
great product easy use niece loves wont put,5,2
great,5,2
plan buy second second amazon kindle hi e year old,5,2
product purchased grandson fire 6 however loves hd 8 uses music gaming mostly great electronic device,5,2
delight child books games shows tailored amazon fire hd 8 kids edition tablet 8inch highdefinition display offers immersive play viewing parental dashboard lets set appropriate content time limits amazon fire hd 8 kids edition tablet comes durable case resists damage,5,2
lots batteries every day things great price fast shipping,5,2
works performs long name brands great price number batteries int pack would recommend,5,2
love would definitely recommend plan take trip coming read books,5,2
bought christmas gift 6 year old loves durable reliable,4,2
issues library check amazon,5,2
week wont take charge tried new chargers still taking charge happy tablet unhappy chatging,2,0
bought children love camera last one didnt camera,4,2
works like expensive duracell enigizeer batteries fraction cost last long,5,2
thanks,5,2
great buy excellent batteries ordered size error returned received immediate credit,5,2
great inexpensive batteries good market,5,2
one purchased one mother law 7 inch bigger screen hd one much easier eyes use longer periods time without eyes bothering,5,2
described great service,5,2
tend forget buy batteries hurricane season rolls around lifesaver package weve purchased several different sizes good appear last long brands definitely order,5,2
great batteries fair price,5,2
amazon echo tap nice interesting devicebut fit needs also amazon echo absolutely love whats difference walk tap touch convenient fun talking echo across room b audio quality good like small bluetooth speaker c tap fine around house connected home wifi house must connect cell phone wifi going work well,3,1
tested lifespan batteries wireless mouse lasts long duracell coppertop aaa,5,2
great purchase love fact download tv movies watch offline easy set,5,2
love kids allow cant get internet unless put profile dont four 2 year old apps easily accessed big b seen well also tablets double b used regular tablet grown ups,5,2
wife uses playing line games loves,4,2
echo love product purchased tap gift,5,2
tablet great graphics compared base android bought kids protective case use grandkids come long battery life,5,2
little one always grabbing phones tablets nobrainer get load kidfriendly learning programs simple things like match colors shapes etc hand tons fun protective case essential since still likes throw things around,5,2
many advertising many pages sort,4,2
fast delivery product advertised,5,2
reviewer commented thank batteries expiration date 5 years purchased weve problems many applications well rechargeable batteries fit bill nicely,4,2
far batteries seem well little expensive memorex batteries wanted try far good,4,2
grandkids love tablet easy use,4,2
bought young grand daughter start teaching basic colors numbers uses like pro great variety teaching games parents bought one house using year still working like new,5,2
amazing value good batteries get stock,5,2
purchased tablets grandchildren purchasing 1 another grandchild october love parents love able dictate use,5,2
batteries worst ive ever bought corroded inside toys remotes noise cancelling range headphones expensive gun scope ive tried aa aaa even gave multiple chances batteries electronic devices die within 24hrs needless say switched back standard duracell batteries care life mess corrosion buy batteries,1,0
long lasting batteries,2,0
batteries work advertised well packaged pleased purchase,5,2
satisfied 3995 sales price way faster expected,5,2
get tired running batteries hope last good product,5,2
husband bed bound sometimes weak kindle great light easy use back light allows read bed without waking turn lights,5,2
qualms quality batteriesi wish every 4 batteries individually wrapped,4,2
use xbox controllers last pretty long great cheap price,4,2
works great geating one grandson christmas plays sisters well protected drop great learning experience,5,2
pros hd quality low price works really well amazon account access multiple amazon features extreme ease couldnt happier ipads extremely versatile came big price tablet love,5,2
perfect kiddos entertainment educational enjoyment definitely best tablet price,5,2
batteries get real,3,1
solid batteries never disappointed amazon batteries,5,2
honestthese batteries outperformed big name brand period,5,2
oh amazing compared amazon batteries ive used damn powerful new favs work much better lot brands ive seen definitely recommend,5,2
great bang buck great taking meetings,5,2
7 wanted bigger screen perfect price great,5,2
small amount money one gets quality quantityreally satisfied,5,2
great,5,2
batteries work expected,5,2
bought sister gift need use laptop basic internet surfing watch movies travelling device speed decent although cannot compare performance laptop want avoid carrying bulky laptop travel want budget make device laptop choose amazon fire tablet,4,2
like tablet child settings time usage helpful setting time limits,4,2
got tablet 3 year old absolutely loves travel lot life saver,4,2
kindle power adapter wall charger usb cable arrived sooner expected excellent condition exactly looking,5,2
good,5,2
bought 6 year old nephew christmas loves great warranty,5,2
amazon fire hd 8 great much faster fire 7,5,2
looked multiple brands cheaper 2040 bucks one guarantees kid cant break 2 years drinks spilled dropped thrown sat thing wrong,5,2
like batteries cheaper dont last long id like continue buy though price,3,1
keep asking boss aaa batteries always comes back three walkietalkies work need suckers palate radioshack shut next door sort inconvenient getting midshift stingy finally bought box dropped desk think gets,5,2
bought year end holiday party raffle prize pool great price people always use amazon tablet came kaspersky free well pretty generous complimentary add,5,2
great batteries getting lot,5,2
contemplating buy either insignia 101 fire hd8 im glad chose latter fast sufficient needs also downloaded google play tablet even making better purchase 59 cant go wrong purchase,5,2
really great tablet even amazon alexa built dont buy echo echo dot originally bought use mp3 player many features havent added music,5,2
pretty impressed little device easy setup works rather well also bought ipad air 2 128gb bf 375 playing around hd fire returned air 2 met needs much lower price added 64gb sd card downloading movies netflix hd display clear battery life could little better overall im satisfied free stuff get amazon prime account icing cake dig,5,2
love read booksbooks books books,5,2
recipient tablet uses often loves much im buying one,5,2
best value ive ever gotten batteries last long duracell 18 price,5,2
grandson really enjoys tablet ease use lots different educational programs must remember charge tablet everynight,5,2
grandson blast,5,2
teenage daughter enjoyed three year old 7 kindle recreation wanted larger screen word processing paired bluetooth keyboard thrilled,5,2
great budget tablet needs good sized microsd card,5,2
pleased purchase tablet great project product versatile,4,2
b,4,2
every battery voltage reading 161 166v update lifespan batteries less expected,5,2
great value money,5,2
great learning tool granddaughter loves,5,2
tablet great three year old complaint cant turn app download function free time see complete list downloaded,4,2
installed batteries two devices working well completely satisfied performance,5,2
perfect last quite long time,5,2
decent price performance aaa batteries,5,2
work perfect last long copper top batteries,5,2
husband looking around tablet daughter wanted something could use easily wouldnt worry different profiles parental controls available enjoyed choice tablet,5,2
children love los different things learn,4,2
work well problems,4,2
bought 1 year ago oldest kid came back year bought two built really well best choice kids tablet,5,2
last near long brand batteries,1,0
wifes old kindle stopped holding charge surprise stopped local best buy picked kindle kindle great display rivals samsung tablet pro long battery life wife uses every day great book worm looking tablet budget,5,2
great,5,2
tablet daughter charger messed go get another one iaom sure pleased,5,2
glad get good price,5,2
nice tablet however could better get pay,4,2
wife loves reading tablet also great surfing web,5,2
love like one better since already kindle knew wanted needed second one little bigger always loved service help get bb knew would purchase found salesman knowledgeable helpful thanks much help service,5,2
looking fire tablet quite time price could pass,5,2
nice tablet speedy thing dont like cant add googleplay apps 6900 guess thats expected,5,2
seem well far cant complain good price time,4,2
complaints normal battery,5,2
working great sudden wouldnt come,3,1
good price good stuff,5,2
seem every bit good name brands used many applications,5,2
kids love product parental restrictions set know shut good battery life,4,2
kindle fire tablets simply cant beat terms value bang buck amazon prime account would crime fire tabletgood strong build quality nice bright screen strong picture good resolution pretty responsive good battery life handle abuse letting kids use well,4,2
great value,5,2
working great,5,2
bought tablet mom birthday recently loves uses time,4,2
great tablet believe also great kids use parental controls,5,2
bought fathers day dad mom love,5,2
best tablet money loads fast good quality graphics,5,2
bought gift 3 year old granddaughter learning get apps play games like contol watch play,5,2
son enjoys complaints works great long battery life,5,2
bought tablet use 3 year old autistic son tried 3 different tablets 3 defective would turn video using therapy sessions inconvient switched 7 trouble since,3,1
fit work long time ask,5,2
great 8 inches tablet amazing storage apps,4,2
second one bought older son wouldnt share christmas santa brought little brother one lol apps come subscription endless also netflix kids watch different shows bought sprout cubby tablet broke within 2 days customer service terrible would replace actually wanted charge paid customer service amazon however fantastic replaced sons tablet cracked within 3 days durable older toddler crazy lil man wont regret buying kids,5,2
terrible batteriesdont last longdont depend theseyoure better buying batteries dollar store,1,0
great kindle simple working good oss,5,2
bought tablet month ago waited see see id like husband owned zoom ive owned 28 inch samsungsthis far favorite bought one time loves use email games social media internet accounting love fast reliable easy use easy see seems durable extra protection bought shock case flip stand back protected versatile wish would battery lasted longer constant usebut suppose everyone needs break every 24 hours charge back pretty fasti think great tablet,5,2
awesome,5,2
handy stock,5,2
graphics sound tablet better expected,5,2
arrived worked like charm,5,2
great price,5,2
good quality tablet needs alot money,5,2
batteries good brands purchased cheaper makes much better opinion,5,2
price seems like good quality buy,5,2
quirks disconcerting bur overall great product,4,2
old kindle stopped working recently sure would connect new router checked best buy saw kindle sale 60 great deal color kindle tablet especially like setup reading mode dims tablet removes blue led light far read 5 books past 2 months kindle flawless,5,2
needed batteries kittens toys first three used lasted 5 hours unhappy spent 8 lot money,1,0
ive ordering since amazon started provide product 1 year old means always need batteries available drop hat never issues always fast fulfillment amazons end,5,2
smaller kindle years im enjoying kindle 8 additional features,5,2
tablet great option child padded case provides excellent drop protection kindleized android limiting though cannot stream chromecast many things regular android tablet play store space also limited even large version,4,2
one things love new kindle size slides nicely compact purse protective case another thing ive noticed lack glare experienced old kindle automatically adjusts light im looking forward able read beach without struggle also love battery life goes forever case bought makes possible stand kindle front read im eating must never eat alone,5,2
good buy,5,2
many apps books available free tablet entertaining makes shopping online easy amazon store app,5,2
batteries top quality cant beat price market batts amazon basics,5,2
great light weight charges quickly great features,5,2
ordered aa,1,0
bought gift nephew one son already love product,5,2
great pack batteries definitely buy,5,2
amazing price batteries go like crazy actually last longer name brand batteries spend tons,5,2
child item purchased hasnt put really enjoying,4,2
currently setting everything far good,4,2
serves purpose,5,2
difficult connect tube frustrating,2,0
like lot wish would come instructions things done,4,2
love case table works well easy download game apps life battery great battery fully charged last 34 hours,4,2
first tablet owned must say runs great battery lasts good amount time cant complain comes cheap,5,2
exactly wanted,5,2
kids like application amazingi recommend kids,5,2
great cheap batteries paying,5,2
like using amazon echo playing calming music help fall asleep use play nature sounds dog away,5,2
use mostly watch videos movies go ipad pro 129 inch love iaom always nervous dropping kindle fire great itaos durable,4,2
great kids simple inexpensive 16g must better 8g,4,2
lost tablet germany wanted replacement fast best buy 7 8 inch kindle fires stock reading reviews decided go 8 inch boy glad larger viewing area great watching movies netflix airplane 8 inch stereo sound unlike 7 inch mono overall really happy tablet,5,2
batteries good brand batteries actually better last lot longer brand great purchase,5,2
give many stars possible recently bought tablet kids share create profile apps also parent profile allows download apps kids syncs profile view apps theyve used long tablet also time tablet since dont want stuck tablet day like regular tablet youtube web except much easier kids use comes kid friendly case think like cellphone let kids borrow get things done around house except kids probably click something else accident takes ad kids hate mostly throw phone floor well tablet shows apps movies books making easier kids handle without worrying clicking something else accident also blocks ads applicationsgames doesnt let click tokens purchase debit card etc great quality videos fast great amount volume love tablet recommend anyone kids,5,2
great tablet toddlers easy yet fun purchased two tablets grandkids ages 2 4 love enjoy playing,4,2
graat buy,5,2
looking forward bought right popped available best buy obviously refined kindle market ergonomics perfect kindle ebook reader matter easy use single handed one fits perfectly palm page turn buttons joy usethe charging case removed reading snaps back easily deliberately align properly case connected starts charging kindle prolongs battery lifein short avid reader spare 290 kindle buy occasional readers might make sense spend much kindle paperwhite fine,4,2
good better big brands 5 stars,5,2
im always using amazon tabletperfect games,5,2
works far,4,2
great price,5,2
returning replacement got wet quite working childs device better made,3,1
fair sized collection aaa batteries seem function long expensive brand complaints buy several gadgets run aaa batteries,5,2
amazing price amazing quality,5,2
good batteries,4,2
cheap super convenient,5,2
grandson needed new tablet nabi last two years reached limit regarding storage found tablet decided perfect choice great price memory comes kid proof case,5,2
bought gift someone travels often loves said quality expected,4,2
great tablet simple use love itcompatible amazon products,5,2
far good works last well expensive named brand,4,2
got 2 8 yr old twins 11 yr old one one better perfect way get read,5,2
great value price,5,2
way go allinone package kids everything setup easily controlled adult log,5,2
purchase last 12 life duracell ones,1,0
great easy read especially outside sun,5,2
3rd purchase amazon fire got extended warranty basically getting next one 50 next year,2,0
truly converted form battery brand using amazonbasics happy life batteries,5,2
good tablet con may reboot often,4,2
promised super fast shipping,5,2
better opinion energizer duracell,5,2
3yo loves never wants put lots preloaded educational games videos,5,2
table good work like thought would got newphew going love glad got everything,5,2
fantastic arrived quickly,5,2
bought granddaughter christmas absolutely loves,5,2
great tablet child got niece turn 3 years old love games tv shows included tablet,4,2
amazon basics aa performance alkaline batteries great prize far problems,5,2
cheap batteries good batteries kids,5,2
initial impression good material nicer shiny stuff hama cd binders netting trim gives nice appearance compared plain look budget cd bindersthere 50 pages 8 disc pockets 4 per side giving total 400 capacity pages hung spine two groups 25 mean 25 pages single attachment point plastic spinethis first problem binder lies group 25 pages shares anchor point spine pages cannot sit flat full discs bend arch apart looking tatty puts lot tension across plastic film longterm usage suspect plastic film tear due tension also makes awkward browse binder pages dont sit flat may even crack bend discsi look hama 120 binder see done 30 pages yet smart enough hang spine 3 bundles 10 spreads pages allows easy browsing binder without putting pockets tensionafter 2 weeks storage opened binder corners pages become dogeared due poor design poor fit binder pages filled discs problem seen disc binders twoyearold hama binders look good newoverally binder lot storage good price thats want probably happy product sloppy design prevents anything mediocre binder feel whoever designed bother fill discs see would cope,2,0
good batteries buy stores,5,2
great value issues,5,2
reason none batteries worked sure wrong time ive bought problems luckily amazon took back without problem,3,1
quick shipping happy purchase,5,2
purchased two tablet pink blue 5 7 years children really love tablets yes birthday gift,5,2
price almost impulse buy wanted tablet upcoming trip watch movies read etc price point made decision really easy used ipad fire hd little disappointing costs considerably less fit needs felt slugginess several instances needing reboot get certain apps work correct go understanding isnt ipad replacement fit bills lets say trip purchased ipad pro item likely handed one children amazon prime get nice perks make really nice item,4,2
2 yr old loves got pink love put restrictions well timer theyre long games books awesome,5,2
bought daughter christmas absolutely loves loves read perfect gift,5,2
got grandson christmas wont put comes free kids software great,5,2
fast easy use second kindle fire,5,2
love new kindle voyage original kindle one much recommend highly,5,2
purchased 7 son 15 years old one broke waiting replacement came 16gb version got loved saw 8 stereo memory almost 3 plays lot learning games numbers letters puzzles remember kids things like alexa important dont want kid option anyway,5,2
strong fast tablet 8 year old manage perfectly,5,2
huge hit gift 3 year old daughter,5,2
love parent controls durability would definitely buy another,5,2
prime almost must keeps amazon stuff one place,5,2
son nabi bought learning entertainment many games downloaded didnt work without internet would shut randomly habe yet encounter problem fire download games books read work great without connected internet,5,2
decent quality,5,2
work well better name brand good lasting power,4,2
love reading magazines checking email,5,2
work good efficient top name comparison far,4,2
enjoy features fire 7 tablet,3,1
really thought would useful without make additional purchases music like,2,0
wife samsung tablet better access games cant get games new amazon fire general quality top notch inability load apps desired disappointing,4,2
best battery deal work good name brands like duracell,5,2
nice little set slow wish would investigated little jumping,3,1
love tablet 7 inch version fro years got broken decided go hd8 great choice,5,2
3 12 year old grandson son loves big game calls,5,2
im thrilled life batteries dont seem last long energizer things arent even strong enough get rid dead battery reading,3,1
good product also monitoring kids see,5,2
love able make specific profiles children,5,2
speed storage needed first grader case soft light tell protect tablet really well really like ease getting kidfriendly apps videos easy set parental controls,5,2
vary good,5,2
got black friday sale less 50 everything play games internet surf create documents read books takes picturesvideos streams music movies hd evens talks alexa feature expandable 256gb memory fast reliable tablet price find equal havent even scratched surface everything reason didnt give 5 stars camera 2mp resolution surprising considering bothered put hd screen tablet,4,2
everything satisfactory,5,2
theyre batteries,5,2
easy use easy order books join amazon prime lending library look books havent read want,5,2
great batteries much better price standard brands,5,2
actually christmas present mother set nice upgrade kindle purchased three years ago kindle great assisting getting registered since neither us could remember password,5,2
screen vibrant clear fast doesnt lag going onto different sites amazon prime tablet gives access unlimited music movies tv awesome purchase,5,2
fast fluid lots apps especially added google play storevery simple doesnt require anything voids warranty display sharp video games load quickly deducted one star amazons version android lacks ability customization,4,2
ive kindle owner since early days new versions come past usually nobrainier upgrade oasis little challenging price really makes stop think upgrade worth lot thought factor convinced switch reappearance page turning buttons missed since vanished kindle keyboard paper white voyage great devices often accidentally changed pages accidentally pinched bezel carrying device even shifting positions couch oasis buttons removed issue delighted weight thinness device also appreciated tho paper white etc pretty thin already addition cover interesting months use think pretty clear coverbattery boost shortlived battery kindle months battery life seems impossible unless keep screen low illumination read minutes day screen clear bright cant see led issues others complained interface seem snappier older versions ultimately real justification buying kindle miss page turn buttons want pay top dollar otherwise existing kindles meet needs,4,2
highly recommend tablet toddler plenty learning activities engage little minds case comes sturdy toddler dropsthrows tablet damaged,5,2
great tablet kid enjoys much would buy,4,2
things really supply power,5,2
great purchase,5,2
price excellent tablet high end laptop convert tablet almost 16 foldover design normally use laptop mode also high end phablet sized phone sure often id use tablet want spend 500ish ipad fire great far days use phone alot want avoid charging per day dont need use laptop speed zippy screen clarityquality good enough storage even better ipads since expandable use 64 gb card giving total 96 gb expandable go 200 gb tying amazon nice since amazon prime basic web surfing email facebook work great bad feature camera video quality matter since high quality camera video recorder phone slight negative light bleed noticed booting grey screen colorbrightness uniformity perfect eyes running really enjoying kindle component book magazine reading well overall probably best 100 spent long time,5,2
got mom decent tablet heavy good pirce loves,5,2
cheap reliable batteries,5,2
two girls love play games take,5,2
happy ereader practical reading along daughter one well use read every night required 4th grade class curriculum,4,2
affordable batteries run specific testing far performed well appear give good battery life,5,2
buy expensive batteries target lowes home depot much less expensive batteries sure trick work well fraction cost nobrainer purchase,5,2
using batteries kids toys work fine havent noticed lasting longer shorter others normally purchase kirkland brand one costco appear equivalent great large supply batteries hand kids,4,2
wonderful display dependable alot never complain stalls alot games reading watching videos problem,5,2
six year old turned tablet immediately christmas day knew operate easily,5,2
great batteries,5,2
5 children kindle one far best one,5,2
great tabletereader lot bad boy,5,2
fire worked great returned one wantedbest buy took back full refund problems best buy alsome,5,2
product significantly improved previously owned first generation kindle first generation fire resolution better programmable features numerous response quicker,5,2
bf got birthday present son like 7 although larger cannot tell different regular hd game im sure cost wouldnt waste money,5,2
great savings,5,2
cant beat price,5,2
nice,5,2
easy use good battery life great back lighting,5,2
sons 4th kindle reliable charging plug area wears quickly,4,2
kindle neat love save lesson plan documents work kindle course enjoy netflix amazon films mention making amazon purchases product great,5,2
work great well packaged,5,2
chose product daughters great product keeps fighting misbehaving think everyone one child great product help learn really affordable people best buy really helpful,4,2
inexpensive need worry getting brokenlost,5,2
daughter loves kindle larger previous one enjoys,5,2
far goodgood value overall time tell long last update dont last long name brands,5,2
son already one upgraded loves,4,2
great price,3,1
good price used far used seems last,4,2
like ease use good support amazon reasonable price versatile tablet,5,2
grandson wanted perfect price cant wait opens,5,2
paperwhite voyage definitely better quality better screen seamless edge makes feel premium delivers comfortable reading experience lighter paperwhite love pressure sensors change pages overall better experience reading experience paperwhite,4,2
great prime member case durable,5,2
good deal unit even beat amazon,5,2
3 exploted damage charger bought going happen charger satisfied batteries,1,0
use time playing games reading books great surfing web,5,2
great deal good name brand battery buy,5,2
love tablet would buy would tell family friends fire tablet,5,2
good value batterys,5,2
fully tested aa batteries dont evaluated,3,1
yes finally battery doesnt cost immortal soul seriously cheap batteries last forever,5,2
nephew 3 years old great starter tablet gonna excited christmas morning,5,2
good deal,5,2
seem work well update needed,5,2
works great teenage son uses reading playing games watching movies,5,2
2nd tablet kindle fire hd 8 reviewed throughly elsewhere many times solid performance money mainly wanna talk excellent buying experience local best buy stock employee extra miles locate stock somewhe like local store much ended ordering keep good work pleasant buying experience,5,2
works well fairly easy program specific area,5,2
bought grandson pleased quality case protects well,5,2
great far lets see long last,4,2
replaces 6 fire kindle love hd quality,5,2
easy open store equivalent battery life expensive brandsfor us like real shopping amazon prime 2 day delivery,5,2
purchased mainly remote controls several months still strong,5,2
right device play puzzles avoid samsungverizon constant advertisements wish battery would last longer charge faster,5,2
batteries seem hold fine,5,2
grand daughter grand son love play games kindles plus mother put programs learn,5,2
great product price could away adds pay make money somehow would give 5 stars adds tablet factory ore loaded,4,2
quality battery life name brand reminds days could go radio shack get good inexpensive batteries far havent amazonbasics products havent liked,5,2
box batteries great value better buying box stores like came easy open cardboard box set 4 inside box wrapped thin layer plastic batteries dont roll around make mess used replenish kids talkinglightup toysas toys dont generally work well rechargables im going buy needed,5,2
4yo loves maneuver easily go different games videos stays charged long time,5,2
last long,2,0
bought wife read ebooks done addition playing games itvery pleased,5,2
bought daughter loves wifi connection great mostly uses youtube google love easy way control parental accounts account useful buy cover put thin afraid would break,5,2
price cant beat tablet little slow camera great otherwise works good thing ads pay 15 amazon remove,4,2
tablet purchased grandmother could play games read books,5,2
daughter loves keeps kids occupied would recommend anyone kids,5,2
suitable toys drained within couple days,1,0
great device read books like links borrowed library ebooks switched another popular tablet brand happy choice made took time get books previous nonkindle reader finally figured way,5,2
bought 6yrold impressed wthe 1yr subscription freetime included additional 2yr manufacturer warranty actual tablet easy daughter use happy parental options also think included apps helpful really like additional user options anyone separate preferences set reason didnt give 5 stars since purchasing charging area tablet doesnt hold cord always constantly falling extremely frustrating,4,2
10 year old uses school scan qr codes online math,5,2
great deal batteries,5,2
seem good toptier brands modelsusing professional audio equipment equipment ran amount timei think difference vastly less expensive,5,2
wonderful tablet 9 year old son able set reading achievements must complete play games watch videos like secure adjust setting find appropriate child,5,2
buy tablet nephew happy,5,2
unbelievable deal tablet works better 9900 samsung added 999 32 gb micro card set,5,2
great price god batteries bulk,4,2
daughter loves gamesvideos watch day wife uses read evening thing gets used lot couldnt happier purchase,5,2
like plays music perfect connect smart home products nest belkin many others easy use,4,2
alright batteries works well remotes little gadgets like energize battery copper top battery husband got smaller items around,5,2
absolutely love tablet got 3 year old christmas wouldnt steal mine time great kids downloaded netflix could download lots movies shows could watch car without wifi would recommend anyone kids,5,2
batteries good power length service copper top batteries main benefit leaked ruined electronics like copper tops,4,2
love added space easy move around excited use new features,5,2
first little skeptical getting batteries reading reviews decided take chance try resultsthese batteries money would definitely recommend family friends,5,2
great deal lot batteries always nice many hand never know youre going need havent noticed life shorter brand names far good,5,2
granddaughter loves tablet two problem playing games using tablet user friendly keeps busy hours,5,2
super easy setup kids use parental controls bonus,5,2
fast fluid lots apps especially added google play storevery simple doesnt require anything voids warranty display sharp video games load quickly deducted one star amazons version android lacks ability customization,4,2
small affordable tablet features apps need plus perfect size reading books best part part fits almost purse,4,2
works okay tablet especially access amazonno good general tablet google apps available chrome gmail etc,4,2
like tablet child settings time usage helpful setting time limits,4,2
son loves easy use parental controls cant buy stuff without permission,4,2
entirely satisfied batteries price,5,2
excellent product last long problems,5,2
think kindle best value money third model gets better last im loving 101 comfortable use everything need beautiful video,5,2
amazing price kids feel like alexa ordering month,5,2
enjoy kindle immensely much better start computer,5,2
bought granddaughter 2 months loves sturdy bumper comes shown intended would highly recommend product kiddos,5,2
grandson needed new tablet nabi last two years reached limit regarding storage found tablet decided perfect choice great price memory comes kid proof case,5,2
lot money,5,2
debating whether get stationary alexa device tap decided portability fun figuring phrase requests little trial error roll use play lists work alarm clock announcement dan marino news briefs surprisingly sturdy wish waterproof could take fishing,5,2
great,5,2
good product would buy vender,5,2
great price works great hasnt died yet defiantly recommend l,5,2
internet usage restricted returned regular kindle fire bought kids case geek squad protection plan instead,5,2
actually 3rd one bought grandkids love love warrantee purchase,4,2
purchased compare duracells normally buy appear excellent value time tell currently using along duracells fake candle lights wife see last long duracells far good,5,2
love new amazon fire easy use,5,2
made usa would make 5 star,3,1
8 year old loves much enjoys reading play games,4,2
great price work well expensive ones,5,2
working great,5,2
perfect batteryhungry race cars tracks bought grandson christmas great pricing well,5,2
first time purchased amazon basic aa alkaline batteries glad solid performer reasonable price buy future sure,5,2
good price happy purchased bunch,5,2
excellent batteries price never bad battery ive ordered several boxes packaged recloseable box nice plus,5,2
really like set different profiles boygirl still use device play favorite profilei bought 2 kids happy,5,2
tablet everything need sturdy enough nice ipad like need resolution movies whatever youd like see may apps amazon store basics reading entertaining son bed seriesmovies preview internet surfing baseline apps gmail hotmail banks good product price,5,2
past years purchased kindle fires various family members workmanship kindles abysmal two weeks ago kindle fire hdx shorted replaced amazon fire 101 device hold charge three half hours read correctly using daily basis time needs charged repeat performance absolutely way ever purchase device manufactured amazon ever tell like want terrible device performance opt amazon product need reliable device look manufacturers options need,1,0
use wireless bt mouse 30 less life copper top brand good price likely buy,2,0
wrong item,1,0
dont seem last long used light chicken coop replace week used 2 three times week dissapointed purchase usually buy batteries costco,1,0
good batteries good price,5,2
great batteries great price,5,2
great price compared buying brand name batteries store definitely enough aaa batteries last lifetime haha working well since got ill try give update start run power complaint wish didnt package batteries plastic film feel like box sturdy compact enough without need extra trash waste,4,2
love price methey dont seem last long brand,3,1
seem lasting time tell quality wouldnt expect bargain basement batteries probably somewhere rayovac duracell,4,2
perfect,5,2
used amazon prime freetime app kids great tablet installed 64 gb micro sd install many apps card possible insure tablet enough free space handle videos easy enough use 5 year old granddaughter,4,2
batteries work well bargain else ask,5,2
bought tablet wife likes plays games checks email goes facebook high end users would satisfied tablet overall excellent value,4,2
overall good tablet kids 6 3 year olds enjoy battery doesnt last anywhere near 7 hours though,4,2
great batteries,5,2
literally bought may ran great batteries f specs ill leave battery specialists lasted way longer better plug play minus cord battery died bought cant beat price effectiveness,5,2
less expensive last year many features bigger screen,5,2
good price batteries seem good quality price right,4,2
problems,5,2
good device entertainment entry level tasks think lot price,5,2
would highly recommend kindle fire first time user really easy learn navigate,5,2
